446	OP03-019	Fiery Doll	SKIPPED(non-optional)
764	OP06-011	Tot Musica	COST_UNPAYABLE
863	OP06-117	The Ark Maxim	COST_UNPAYABLE
919	OP07-057	Perfume Femur	MANUAL/UNKNOWN
1004	OP08-036	Electrical Luna	SKIPPED(non-optional)
1205	OP10-022	Trafalgar Law	MANUAL/UNKNOWN
1369	OP11-092	Helmeppo	MANUAL/UNKNOWN
1587	OP14-001	Trafalgar Law	SKIPPED(non-optional)
1601	OP14-017	Chambres	SKIPPED(non-optional)
1632	OP14-049	Jinbe	COST_UNPAYABLE
1750	OP15-056	Would You Let Me Eat the Flame-Flame Fruit?	SKIPPED(non-optional)
1967	P-060	Tot Musica	COST_UNPAYABLE
2281	ST27-001	Avalo Pizarro	COST_UNPAYABLE
2301	ST29-016	Kizaru!! Compared to Two Years Ago We're a Hundred Times Stronger Now!!	SKIPPED(non-optional)
9	EB01-011	Mini-Merry	MANUAL/UNKNOWN
176	EB04-009	It's My Student's Farewell. I Want It to Be Proper.	COST_UNPAYABLE
267	OP01-047	Trafalgar Law	MANUAL/UNKNOWN
446	OP03-019	Fiery Doll	SKIPPED(non-optional)
604	OP04-073	Mr.13 & Ms.Friday	MANUAL/UNKNOWN
619	OP04-090	Monkey.D.Luffy	COST_UNPAYABLE
743	OP05-104	Conis	COST_UNPAYABLE
747	OP05-111	Hotori	MANUAL/UNKNOWN
764	OP06-011	Tot Musica	COST_UNPAYABLE
830	OP06-081	Absalom	COST_UNPAYABLE
839	OP06-090	Dr. Hogback	COST_UNPAYABLE
850	OP06-102	Kamakiri	COST_UNPAYABLE
857	OP06-111	Braham	COST_UNPAYABLE
860	OP06-114	Wyper	COST_UNPAYABLE
863	OP06-117	The Ark Maxim	COST_UNPAYABLE
1004	OP08-036	Electrical Luna	SKIPPED(non-optional)
1008	OP08-040	Atmos	COST_UNPAYABLE
1012	OP08-044	Kingdew	COST_UNPAYABLE
1022	OP08-055	Phoenix Brand	COST_UNPAYABLE
1225	OP10-043	Moocy	COST_UNPAYABLE
1226	OP10-044	Cub	COST_UNPAYABLE
1230	OP10-048	Sai	COST_UNPAYABLE
1236	OP10-056	Mansherry	COST_UNPAYABLE
1259	OP10-081	Usopp	COST_UNPAYABLE
1261	OP10-083	Kouzuki Momonosuke	COST_UNPAYABLE
1264	OP10-087	Tony Tony.Chopper	COST_UNPAYABLE
1265	OP10-088	Nami	COST_UNPAYABLE
1267	OP10-091	Brook	COST_UNPAYABLE
1271	OP10-095	Roronoa Zoro	COST_UNPAYABLE
1369	OP11-092	Helmeppo	MANUAL/UNKNOWN
1392	OP12-001	Silvers Rayleigh	COST_UNPAYABLE
1394	OP12-004	Kouzuki Oden	COST_UNPAYABLE
1398	OP12-009	Jinbe	COST_UNPAYABLE
1400	OP12-013	Hatchan	COST_UNPAYABLE
1402	OP12-015	Monkey.D.Luffy	COST_UNPAYABLE
1403	OP12-016	To Never Doubt--That Is Power!	COST_UNPAYABLE
1404	OP12-017	Color of Observation Haki	COST_UNPAYABLE
1406	OP12-019	Color of Arms Haki	COST_UNPAYABLE
1503	OP13-024	Gordon	COST_UNPAYABLE
