Loaded 2636 card definitions.

Imported 41 meta deck(s): eb03-by-nami, eb03-five-elders, eb03-green-mihawk, eb03-py-rosinante, eb03-up-luffy, op15-br-ace, op15-by-nami, op15-foxy, op15-g-bonney, op15-g-zoro, op15-purple-doffy, op15-py-crocodile, op15-rg-luffy, op15-up-luffy, op15-y-luffy, op16-black-teach, op16-black-yamato, op16-blue-buggy, op16-blue-lucy, op16-boa-hancock, op16-br-ace, op16-br-koby, op16-g-bonney, op16-g-mihawk, op16-g-zoro, op16-gb-luffy, op16-gp-lim, op16-gp-luffy, op16-kalgara, op16-krieg, op16-luffy-n-ace, op16-moria, op16-p-enel, op16-py-rosinante, op16-rayleigh, op16-red-ace, op16-red-shanks, op16-sengoku, op16-up-luffy, op16-uy-nami, op16-yb-teach

Tournament 'tournament'  pop=64  gens=250  rounds/gen=8  games/pair=8
  meta decks=37  colors=[Black,Black/Yellow,Blue/Purple,Blue/Yellow,Green,Green/Purple,Purple,Purple/Yellow,Red,Red/Black,Red/Blue,Red/Green,Yellow]
  ~2,048 games/generation  (~512,000 total)

  gen  1: topElo=1536 meanElo=1500  topWR=69%  [MulliganKeep=3.38 FaceBias=0.65 CounterLifeFloor=4.98 CounterCharCost=2.48 BlockBias=0.07 TurnOrderFirst=0.71]
  gen  2: topElo=1541 meanElo=1482  topWR=61%  [MulliganKeep=2.34 FaceBias=0.86 CounterLifeFloor=3.62 CounterCharCost=1.51 BlockBias=0.63 TurnOrderFirst=0.34]
  gen  3: topElo=1546 meanElo=1482  topWR=58%  [MulliganKeep=2.98 FaceBias=0.73 CounterLifeFloor=1.30 CounterCharCost=5.44 BlockBias=0.49 TurnOrderFirst=0.67]
  gen  4: topElo=1554 meanElo=1482  topWR=57%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen  5: topElo=1560 meanElo=1482  topWR=57%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen  6: topElo=1574 meanElo=1482  topWR=58%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen  7: topElo=1561 meanElo=1482  topWR=56%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen  8: topElo=1577 meanElo=1483  topWR=57%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen  9: topElo=1573 meanElo=1484  topWR=56%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen 10: topElo=1567 meanElo=1483  topWR=55%  [MulliganKeep=1.00 FaceBias=0.50 CounterLifeFloor=3.00 CounterCharCost=5.00 BlockBias=0.50 TurnOrderFirst=1.00]
  gen 11: topElo=1574 meanElo=1484  topWR=53%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
